User_id,Offline_downloads,Audio_quality,Ad_free
359,50,Lossless,True
313,50,Lossless,True
816,100,Very High,True
408,200,Lossless,True
447,100,High,True
117,50,High,True
685,200,High,True
13,100,Lossless,True
338,100,Lossless,True
99,50,High,True
637,500,Very High,True
660,500,Lossless,True
928,200,Lossless,True
443,200,High,True
36,500,High,True
496,500,Very High,True
396,200,Very High,True
565,50,Very High,True
180,50,Very High,True
329,500,Very High,True
261,50,High,True
503,200,Very High,True
696,50,Lossless,True
432,50,Lossless,True
869,500,Very High,True
997,50,Very High,True
481,100,Very High,True
15,500,Lossless,True
646,100,High,True
450,500,High,True
930,200,Lossless,True
92,50,Lossless,True
298,100,High,True
757,100,Lossless,True
779,500,Very High,True
819,100,Very High,True
794,200,Very High,True
727,500,Very High,True
177,200,Lossless,True
540,50,Lossless,True
403,200,High,True
161,200,High,True
980,500,Very High,True
311,200,Lossless,True
262,100,Very High,True
708,50,Lossless,True
198,100,Very High,True
461,200,Lossless,True
296,500,High,True
98,50,Very High,True
543,500,Lossless,True
23,200,High,True
534,50,Lossless,True
938,500,Lossless,True
783,200,High,True
267,200,Very High,True
691,100,High,True
276,200,Very High,True
569,100,High,True
369,100,High,True
904,50,Very High,True
378,50,Lossless,True
344,50,Lossless,True
674,200,Lossless,True
187,100,Lossless,True
953,500,High,True
894,100,High,True
525,100,Lossless,True
488,500,High,True
749,500,Very High,True
514,100,Very High,True
340,200,Lossless,True
435,500,High,True
64,100,Very High,True
853,500,High,True
154,200,Lossless,True
260,500,Very High,True
532,200,Very High,True
712,500,High,True
612,100,Lossless,True
889,100,Very High,True
207,50,Lossless,True
357,500,Very High,True
545,50,Lossless,True
560,50,Very High,True
738,50,High,True
504,200,Very High,True
537,100,Very High,True
807,50,High,True
649,500,Very High,True
802,50,Very High,True
384,50,Very High,True
986,200,High,True
758,500,High,True
588,200,High,True
155,50,Very High,True
208,50,Lossless,True
281,200,High,True
459,100,High,True
156,200,Very High,True
857,100,Lossless,True
108,500,Very High,True
448,50,High,True
473,50,Very High,True
917,100,High,True
601,500,High,True
336,200,High,True
165,200,High,True
988,50,High,True
227,500,Lossless,True
404,500,High,True
346,50,Very High,True
852,50,Lossless,True
